"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14491","test_api_response_time","tests.api","2026-05-07","passed","2026-05-07","","test_performance","",""
"","16780","test_invalid_login[invalidemail-password123-Email address is invalid]","tests.ui","2026-05-07","passed","2026-05-07","","test_invalid_login","",""
"","17821","test_invalid_login[test@-password123-Email address is invalid]","tests.ui","2026-05-07","passed","2026-05-07","","test_invalid_login","",""
"","65877","test_api_to_ui_sync","tests.e2e","2026-05-07","passed","2026-05-07","","test_api_to_ui","",""
"","32669","test_invalid_login[--Email address is required]","tests.ui","2026-05-07","passed","2026-05-07","","test_invalid_login","",""
"","22406","test_invalid_login[-password123-Email address is required]","tests.ui","2026-05-07","passed","2026-05-07","","test_invalid_login","",""
"","61113","test_create_note","tests.ui","2026-05-07","passed","2026-05-07","","test_create_note","",""
"","22983","test_delete_note_api","tests.ui","2026-05-07","passed","2026-05-07","","test_delete_note","",""
"","11261","test_login","tests.ui","2026-05-07","passed","2026-05-07","","test_login","",""
"","64920","test_ui_to_api","tests.e2e","2026-05-07","passed","2026-05-07","","test_ui_to_api","",""
"","36505","test_create_empty_note","tests.ui","2026-05-07","passed","2026-05-07","","test_empty_note","",""
"","22784","test_invalid_login[wrongemail@gmail.com-wrongpassword-Incorrect email address or password]","tests.ui","2026-05-07","passed","2026-05-07","","test_invalid_login","",""
"","18715","test_get_all_notes_from_api_and_report","tests.api","2026-05-07","passed","2026-05-07","","test_get_notes","",""
"","25461","test_invalid_login[' OR '1'='1-' OR '1'='1-Email address is invalid]","tests.ui","2026-05-07","passed","2026-05-07","","test_invalid_login","",""
"","22718","test_invalid_login[rupa0103@gmail.com--Password is required]","tests.ui","2026-05-07","passed","2026-05-07","","test_invalid_login","",""
